# Start logging at 2021-11-02 13:48:29 Mitteleuropäische Zeit
[13:48:29] connected
[13:50:26] j0nas500 is live!
[13:50:32]  j0nas500: a
[15:05:53]  j0nas500: ローエスズブ hat ein Follow dagelassen.
[15:06:00]  fabxx45: @Lawezz swf?
[15:06:12]  lawezz: mich mag er nicht
[15:06:12]  j0nas500: ローエスズブ hat ein Follow dagelassen.
[15:06:30]  lawezz: roebutzebu OMEGALUL
[15:06:52]  lawezz: 1 bits
[15:06:59]  lawezz: @fabxx45 neeeeeeeee
[15:07:05]  lawezz: spiel killa
[15:07:43]  otp_elias: !wer
[15:07:43]  j0nas500: j0nas5Wer j0nas5Wer j0nas5Wer j0nas5Wer j0nas5Wer
[15:07:43]  j0nas500: j0nas5Wer j0nas5Wer j0nas5Wer j0nas5Wer j0nas5Wer
[15:07:43]  j0nas500: j0nas5Wer j0nas5Wer j0nas5Wer j0nas5Wer j0nas5Wer
[15:07:43]  j0nas500: j0nas5Wer j0nas5Wer j0nas5Wer j0nas5Wer j0nas5Wer
[15:07:43]  j0nas500: j0nas5Wer j0nas5Wer j0nas5Wer j0nas5Wer j0nas5Wer
[15:07:56]  otp_elias: !tts lawezz und j0 sind dumbos insbesondere j0
[15:08:19] otp_elias redeemed Trink Wasser 200
[15:08:22]  lawezz: @j0nas500 j0 warum heißt der emote wie er heißt?
[15:08:34]  lawezz: ich bin nicht elias
[15:08:36]  otp_elias: !essen
[15:08:38]  otp_elias: !isswas
[15:08:50]  otp_elias: @Lawezz Wie nich ?
[15:08:51]  lawezz: !seppl
[15:08:55]  lawezz: schade
[15:08:56]  otp_elias: denn leav den stream dumbo.
[15:09:04]  otp_elias: geh
[15:09:05]  otp_elias: los
[15:11:46]  otp_elias: !tts dumbps
[15:11:52]  otp_elias: mach doch
[15:13:06] fabxx45 redeemed Sonnenbrille 1500
[15:13:20]  otp_elias: retard
[15:13:30] 
[15:13:30] The message from otp_elias is now deleted.
[15:14:27]  fabxx45: zeig sonnenbrille
[15:15:05]  j0nas500: Chatregeln: https://j0nas500.de/rules
[15:17:25]  j0nas500: !kcreset
[15:17:28]  j0nas500: Kruiz Control Initialized
[15:18:19]  j0nas500: !kcreset
[15:18:22]  j0nas500: Kruiz Control Initialized
[15:18:38]  j0nas500: Axxtral hat ein Follow dagelassen
[15:19:09]  otp_elias: gay
[15:20:20]  otp_elias: Was ist denn in 10 minuten ?
[15:22:19]  lawezz: venshi
[15:23:30] This channel has follower or subscriber only chat.
[15:23:48]  lawezz: imagine
[15:23:53]  lawezz: venshi
[15:24:04]  fabxx45: gib a ruah
[15:24:43] Now hosting im2shortfor69.
[15:24:43]  lawezz: imagine
[15:25:26] j0nas500 is now offline.
[22:39:06] disconnected
[22:39:06] Server connection timed out, reconnecting
[22:39:08] connected
[22:39:09] Now hosting im2shortfor69.
# Start logging at 2021-11-02 23:33:02 Mitteleuropäische Zeit
[23:33:02] connected
[23:33:02] Now hosting im2shortfor69.
